abac	ඇකිය
abaca	අබක
aback	පස්සට | පස්සෙන් | පසුපසට | පුදුමයට | විස්මයට
abacus	ඇබකසය | කුලුණු හිස | ගණක චතුරස්‍රය | ගණක රාමුව | ඝණක චතුරස්‍රය
abaft	අවරට | නැවක පසු භාගයෙහි | පස්සෙන්
abampere	ඇබ්ඇම්පියරය | ඇබැම්පියරය | නියැම්පියරය
abandon	අත සෝදා ගන්නවා | අතරමං කරනවා | අත්හරිනවා | දුරුකරනවා | ප්‍රතික්ෂේප කරනවා | පිටිපානවා | වගකීමක් නැති කම | වර්ජනය කරනවා | සිතුමනාපේ හැසිරීම | හැර දමනවා
abandoned	අතරමං කළ | අත් හළ | අත්හළ | අශිෂ්ට | ජඩ | ජරාවාස | පාලු | පාළු | පුරං | ලූ
abandonedly	අත් හැර දැමූ ලෙස | පාළුවට
abandonment	අත්හැර දැමීම | අත්හැරීම | ත්‍යජනය | පාළුවට හැරීම | විජභනය
abase	නින්දා කරනවා | නිවට වෙනවා | පහතට හෝ යටතට හෝ අවමානයට හෝ පමුණුවනවා | පහත් කරනවා
abasement	අවමන් කිරීම | නින්දා කිරීම | පහත් කිරීම | යටත් කිරීම
abash	අධෛර්ය්‍යයට භාජනය කරනවා | ලජ්ජා වෙනවා | ලජ්ජාවට භාජනය කරනවා
abashment	ලජ්ජාවීම
abate	අඩු කරනවා | අඩු වෙනවා | අවකරණය කරනවා | අවකරණය වෙනවා | අස් කරනවා | නවත්වනවා | පහළ දමනවා | බහිනවා | බැස යනවා
abate-jour	වහල ජනේලය | වහල වීදුරුව
abated	අඩු වූ | බැස ගිය
abatement	අඩු කිරීම | අඩුකිරීම | අඩුවීම | අවකරණය | නතර කිරීම | නැවැත්වීම | බැස යෑම
abater	අවකාරක
abattoir	මස් මඩුව
abaxial	අක්ෂයෙන් එහා | අවාක්ෂ
abba	එළු ලොමින් සෑදූ සිරියා රෙද්ද | ඔටු ලොමින් සෑදූ සිරියා රෙද්ද | සිරියා රෙද්දෙන් මැසූ කබාය
abbacy	තාපසාරාමයෙහි අධිපතිකම
abbatoir	මස් මඩුව | වධකාගාරය
abberration	අපේරණය
abbess	ආශ්‍රමාධිපතිනිය | කන්‍යාරාමාධිපති | කන්‍යාරාමාධිපතිනිය
abbevillian	අබෙවිලියානු
abbey	කන්‍යාරාමය | තාපසාරාමය | පල්ලිය | ප්‍රව්‍රත සමූහය | පැවිදි ආශ්‍රමය | මඩම | මඩමක පිහිටි පල්ලිය
abbortion	ගබ්සාව
abbot	ආශ්‍රමාධිපති තැන | තාපසාරාමයේ අධිපතියා | පල්ලියේ අධිපතියා | යතීන්ද්‍රයා
abbreviate	අඩු කරනවා | කෙටි කරනවා | කෙටිකරනවා | ලුහුඬෙන් කියනවා | සංක්ෂිප්ත කරනවා | සංක්ෂේපණය කරනවා | සංක්ෂේපයෙන් කියනවා | හකවනවා
abbreviated	සං ක්ෂිප්ත | සංක්ෂිප්ත
abbreviation	කෙටි කිරීම | කෙටි යෙදුම | කෙටි රූපය | කෙටි සටහන | සංක්ෂිප්තය | සංක්ෂේපණය | සංක්ෂේපනය | සැකෙවිය
abbreviatory	කෙටි | සංක්ෂිප්ත
abcess	විස්ඵෝටය
abcoulomb	ඇබ්කූලෝම
abdicate	අපත්‍යජනය කරනවා | නිලය අත්හරිනවා | රජකම අත්හරිනවා | රජකම අත්හැර යනවා
abdication	අත්හැරීම | අපත්‍යජනය | නිලය අත්හැරීම | රජකම අත්හැරීම | රජකම අත්හැරීම | සිහසුන අත්හැරීම
abdomen	උදරය | බඩ | යටිබඩ
abdominal	උදර | උදරමය | උදරීය | කුච්ඡිමය
abdominous	මහෝදර | ලොකු බඩ සහිත
abduce	පැහැර ගන්නවා | පැහැර ගෙන යනවා
abduct	උස්සාගෙන යනවා | පරාහරණය කරනවා | ප්‍රහරණය | පැහැර ගන්නවා | පැහැර ගෙන යනවා | පැහැරගෙන යනවා | බලත්කාරයෙන් හැරගෙන යනවා | බලෙන් ගෙන යනවා | රහසින් හැරගෙන යනවා
abduction	අපනයනය | අපහරණය | පරාහණය | පැහැර ගෙන යෑම | පැහැරගෙන යාම | බලාත්කාරයෙන් ගෙන යෑම
abductor	පරාහාරකයා
abeam	ගුවන් නැවක දික්භාගයට ලම්බාකාරව පිහිටි
abed	ඇඳෙහි | පර්ය්‍යංකස්ථව | පලක් බැඳ
abele	සුදු පොප්ලර්
aberrant	අපේරණ | අමාර්ගගාමී | ඉබා ගාතේ යන | නොමග යන | නොමඟ යන
aberrate	නිසි මගින් බැහැර යනවා | සමයම් කරනවා
aberration	අපේරණය | නොමග යාම | නොමඟ යෑම | භ්‍රංශය | මුළා වීම | මුළාව | වරද
abessive	රහිත | විරහිත
abet	අනුබල දෙනවා | වරදට අනුබල දෙනවා | වරදට පොළඹවනවා
abetement	අනුබල දීම
abeter	උදවු දෙන්නා | හවුල්කාරයා
abetment	අනුබල දීම | අනුබලදීම | වරදට අනුබල දීම | වරදට පෙළඹවීම
abetor	උදවු දෙන්නා | හවුල්කාරයා
abetter	අනුබල දෙන්නා | උදවු දෙන්නා | වරදට පොළඹවන්නා | හවුල්කාරයා
abettor	අනුබල දෙන්නා | උදවු දෙන්නා | වරදට පොළඹවන්නා
abeyance	අත්හිටීම | කලකට නතරවීම | තාවකාලික නැවැත්වීම | තාවකාලිකව නවතා තැබීම | තාවකාලිකව නැවතී තිබීම
abeyancy	කලකට අත්හිටවීම | තාවකාලික නැවැත්වීම | නතර වීම
abeyant	කලකට අත්හිටි | තාවකාලිකව නැවැත්වූ
abhayagiri	බගිරි | බයගිරිය
abhidhamma	බිදම් | විජම්
abhor	අප්‍රිය කරනවා | නුරුස්සනවා | පිළිකුල් කරනවා
abhorence	පිළිකුල
abhorent	නීච | පිළිකුල් කටයුතු | පිළිකුල් සහිත
abhorrence	අරුවය | පිළිකුල | පිළිකුළ
abhorrent	අප්‍රියජනක | නීච | නුරුස්නා | ප්‍රතිකූල | පිළිකුල් කටයුතු | පිළිකුල් සහිත
abhorrer	පිළිකුල් කරන්නා
abide	ඉන්නවා | ඉවසනවා | එකඟ වෙනවා | නවතිනවා | පවතිනවා | පොරොත්තුව සිටිනවා | බැඳෙනවා | රුස්සනවා | වාසය කරනවා
abided	ඉවසනවා | නවතිනවා | පවතිනවා | පොරොත්තුව සිටිනවා | රුස්සනවා | වාසය කරනවා
abiding	වෙනස් නොවන | ස්ථීර
abient	පරිහාරී
abietic	අබියෙටික
abigail	දාසිය | දාසී | පරිවාරක ස්ත්‍රිය | පරිවාරිකාව
ability	දක්ෂකම | පුළුවන්කම | පෝමන් | බලය | බැරිපුළුවන්කම | ශක්තිය | සපන්කම | සවිය | ස්ථාම | සාමර්ථයය | හැකිබව | හැකියාව | හුරුකම
abiogenesis	අවජනනය | අවාජ්ජනනය | සපපාතික උත්පත්තිය | සපපාතික උපත | ස්වයංජාතය
abiogenetic	අවජනක | සපපාතික | ස්වයංජාත
abiophysiology	අවකාය විද්‍යාව
abiosis	අවය
abiotic	අප්‍රාණික | අව
abject	අධම | තුච්ච | දුක්ඛිත | දුක්ඛිතයා | දුහ්ඛිත | දුහ්ඛිතයා | නිහීන | නීච | නීචයා | පහත්
abjection	තුච්ඡභාවය | දුක්ඛිතභාවය | දුහ්ඛිතභාවය | නිහීනත්වය | නීචභාවය
abjectly	නීච ලෙස
abjectness	දුක්ඛිතභාවය | දුහ්ඛිතභාවය | නීචකම | නීචභාවය | පහත්කම
abjuration	ප්‍රතික්ෂේප කිරීම
abjure	දිවුරා අත්හරිනවා | ප්‍රතික්ෂේප කරනවා
abklingen	අපහායනය
ablate	ගෙවී යනවා | ගෙවෙනවා
ablation	අපහරණය | ගෙවීයෑම
ablative	අවධි විභක්තිය | අවධි විභක්තියේ ඇති
ablaut	අජ්විපරිණාමය | ස්වර අනම්‍යය
ablaze	ඇවිළගත් | ඇවිළුණු | ගිනි ගත් | ගිනිගත් | දැල්වෙන | දිලිසෙන
able	ක්ෂම | දක්ෂ | ප්‍රබල | පිළිවන් | පුළුවන් | පෝමන් | වත් | ශක්තිමත් | ශක්‍ය | ශූර | සපන් | සමත | සමත් | සමර්ථ | හැකි
able-bodied	ශක්තිමත්
ablebodied	ශක්තිමත්
ablolute	ඒකාන්ත
ablow	පිපෙන
ablush	ලජ්ජාවෙන් මුහුණ රතු වී
ablution	නෑම | පරිත්‍ර කිරීම | පවිත්‍ර කිරීම | ශරීරකෘත්‍යය | ශුද්ධ කිරීම | ස්නානය කොට පිරිසිදු වීම
ablutionary	නා පිරිසිදු වන
ably	දක්ෂ ලෙස | පිපෙමින්
abmodality	අපමාතිය
abnegate	අයිතිවාසිකම අත්හරිනවා | ත්‍යජනය කරනවා | පිළිගැනීම අත්හරිනවා | මතය අත්හරිනවා
abnormal	අනියම් | අපසාමාන්‍ය | අප්‍රමත | අවප්‍රමාණ | අස්වාභාවික | අසාමාන්‍ය | පුදුම
abnormalism	අසාමාන්‍යභාවය
abnormality	අනියම් බව | අප්‍රමතිය | අසාමාන්‍යත්වය | අසාමාන්‍යය | විපරීතය | විශේෂය
abnormally	අනියම් ලෙසින් | අසාමාන්‍ය ලෙස | රියකට ගොඩ වී | විපරීතව
aboard	දුම්රියේ | නැවේ | යාත්‍රාවකට ගොඩ වී | යාත්‍රාවේ | වාහනයක
